 
CarID,Brand,Model,Price,Year,Miles,Gear,Fuel,Color,InteriorColor,Drive,Power,Weight,NumberofSeats,Body,NumberofDoors,TaxClass,NextEUInspectionDate,CylinderVolume,Sold
297364773,BMW,3-serie,519000,2021,18000,Automat,El + Bensin,Grå,Sort Alcantara,Firehjulsdrift,292,1890kg,5,Stasjonsvogn,5,Personbil,2l,,False
291446235,BMW,3-serie,51777,2008,280000,Manuell,Diesel,Black,Bakhjulsdrift,177,1505kg,4,Coupe,2,9,Personbil,23.11.2024,2l,False
260813151,BMW,3-serie,206729,2007,229925,Manuell,Bensin,Black,Bakhjulsdrift,306,1525kg,4,Coupe,2,2,Personbil,3l,,False
297301878,BMW,3-serie,89999,2003,289000,Manuell,Diesel,Blå,Grått skinn,Bakhjulsdrift,204,1615kg,5,Stasjonsvogn,4,Personbil,13.05.2024,3l,False
293128530,BMW,5-serie,69777,2009,215000,Automat,Diesel,Black,Bakhjulsdrift,177,1620kg,5,Stasjonsvogn,Personbil,28.02.2025,2l,,,True
295777350,BMW,3-serie,139147,2012,179994,Manuell,Diesel,Grå,Bakhjulsdrift,163,1420kg,5,Sedan,4,5,Personbil,18.03.2024,2l,False
294233385,BMW,5-serie,319000,2018,135000,Automat,El + Bensin,Blå,Leather Dakota/Canberra beige,Bakhjulsdrift,252,1770kg,5,Sedan,Personbil,2l,,,False
291704601,BMW,5-serie,129000,2010,127000,Automat,Diesel,Grå,"Leather ""Dakota""/Natural Brown",163,1695kg,5,Stasjonsvogn,5,Personbil,2l,,,False
296685456,BMW,5-serie,11777,2001,360000,Automat,Bensin,Sølv,Sort skinn,Bakhjulsdrift,170,1625kg,5,Stasjonsvogn,9,Personbil,"2,2l",,False
296524429,BMW,3-serie,31777,2006,223401,Manuell,Bensin,Blå,Bakhjulsdrift,129,1435kg,5,Sedan,4,6,Personbil,24.06.2024,2l,False
296272168,BMW,5-serie,136777,2008,204000,Automat,Diesel,Grå,Svart skinn,Firehjulsdrift,197,1780kg,5,Stasjonsvogn,2,Personbil,3l,,False
296491675,BMW,7-serie,219000,2012,229000,Automat,Diesel,Black,lys,Firehjulsdrift,306,1950kg,5,Sedan,5,Personbil,3l,,False
294863533,BMW,3-serie,219000,2012,140100,Automat,Diesel,Blå,Sort skinn,Bakhjulsdrift,163,1575kg,5,Stasjonsvogn,5,Personbil,29.07.2024,2l,False
297418261,BMW,3-serie,179147,2014,137900,Automat,Bensin,Sølv,Bakhjulsdrift,136,1470kg,5,Stasjonsvogn,5,4,Personbil,"1,6l",,False
280692870,BMW,3-serie,90729,2010,261000,Automat,Diesel,Grå,Svart,Firehjulsdrift,163,1605kg,5,Stasjonsvogn,5,7,Personbil,2l,False
270705122,BMW,3-serie,179000,2008,95000,Automat,Bensin,Sølv,Rødt skinninteriør,Bakhjulsdrift,170,1625kg,4,Cabriolet,2,Personbil,30.06.2024,2l,False
290365291,BMW,3-serie,12777,1997,275000,Manuell,Bensin,Sølv,Bakhjulsdrift,116,1235kg,5,Sedan,11,Personbil,31.03.2023,"1,8l",,False
296204113,BMW,5-serie,15990,2001,205000,Automat,Bensin,Sølv,Bakhjulsdrift,170,1625kg,5,Stasjonsvogn,5,2,Personbil,"2,2l",,False
293616023,BMW,5-serie,119999,2011,233000,Automat,Diesel,Black,Beige skinn interiør,Bakhjulsdrift,163,1700kg,5,Sedan,4,Personbil,2l,,False
296493626,BMW,5-serie,239000,2013,172772,Automat,Diesel,Black,Firehjulsdrift,258,1865kg,5,Stasjonsvogn,Personbil,3l,,,,False
295294908,BMW,5-serie,428999,2020,45000,Automat,El + Bensin,Grå,Sportsseter i fullskinn,Firehjulsdrift,297,5,Sedan,4,1,Personbil,2l,,False
296702880,BMW,3-serie,139000,2009,207000,Manuell,Diesel,Black,Svart,Bakhjulsdrift,177,1505kg,4,Coupe,2,Personbil,2l,,False
296472275,BMW,3-serie,389900,2020,17500,Automat,El + Bensin,Grå,Bakhjulsdrift,292,1740kg,Sedan,4,Personbil,,,,,False
296751449,BMW,3-serie,141777,2010,168380,Automat,Diesel,White,Bakhjulsdrift,184,1520kg,5,Stasjonsvogn,5,3,Personbil,31.03.2024,2l,False
296092913,BMW,3-serie,119000,2012,215000,Automat,Diesel,Grå,Firehjulsdrift,163,1680kg,5,Stasjonsvogn,5,Personbil,2l,,,False
293556316,BMW,3-serie,199900,2007,121000,Automat,Bensin,Grå,Bakhjulsdrift,218,1760kg,4,Cabriolet,3,Personbil,3l,,,False
294662667,BMW,5-serie,254147,2014,136000,Automat,Diesel,Grå,Sort skinn,Firehjulsdrift,184,1840kg,5,Stasjonsvogn,5,Personbil,27.11.2023,2l,False
287176440,BMW,5-serie,61777,2008,258000,Automat,Diesel,Grå,Bakhjulsdrift,197,1690kg,5,Stasjonsvogn,3,Personbil,3l,,,False
296757638,BMW,4-serie,699000,2022,7000,Automat,Diesel,Grønn,Svart Vernasca Skinn,Firehjulsdrift,190,1760kg,5,Kombi 5-dørs,5,Personbil,28.09.2026,2l,False
296666874,BMW,3-serie,259999,2014,81200,Automat,Diesel,Grå,Svart,Firehjulsdrift,163,1520kg,5,Sedan,5,Personbil,2l,,False
175285721,BMW,7-serie,755372,2017,65000,Automat,Diesel,Black,Firehjulsdrift,320,1900kg,4,Sedan,4,2,Personbil,28.02.2025,3l,False
294235896,BMW,5-serie,249000,2013,135000,Automat,Diesel,White,Firehjulsdrift,218,1720kg,5,Sedan,5,Personbil,2l,,,False
297968572,BMW,3-serie,166777,2011,173000,Automat,Diesel,Black,sort skinn,Bakhjulsdrift,143,1430kg,5,Sedan,Personbil,01.11.2024,2l,,False
297528834,BMW,5-serie,379000,2018,64600,Automat,El + Bensin,Black,Svart,Bakhjulsdrift,296,1770kg,5,Sedan,5,Personbil,2l,,False
297430943,BMW,3-serie,303147,2016,103000,Automat,Diesel,Grå,Sort skinn,Firehjulsdrift,163,1605kg,5,Stasjonsvogn,5,5,Personbil,2l,False
296154270,BMW,3-serie,418000,2020,50500,Automat,El + Bensin,Grå,Bakhjulsdrift,292,1770kg,5,Sedan,4,1,Personbil,23.12.2023,2l,False
296685185,BMW,5-serie,399000,2012,166000,Automat,Diesel,Brun,Sort sportsskinn,Bakhjulsdrift,313,1725kg,5,Sedan,Personbil,3l,,,False
295616759,BMW,5-serie,111777,2008,177004,Automat,Bensin,Black,Bakhjulsdrift,190,1525kg,5,Sedan,4,4,Personbil,31.05.2024,"2,5l",False
296643143,BMW,5-serie,469000,2020,34692,Automat,El + Bensin,Black,Leather Dakota/black/Exclusive seam,Firehjulsdrift,292,1895kg,5,Sedan,5,Personbil,09.01.2024,2l,False
294118172,BMW,5-serie,289000,2018,119000,Automat,El + Bensin,White,svart,Bakhjulsdrift,296,1770kg,5,Sedan,5,Personbil,2l,,False
293255498,BMW,5-serie,359900,2017,84000,Automat,El + Bensin,White,Bakhjulsdrift,252,1850kg,5,Sedan,4,Personbil,31.05.2023,2l,,False
293126293,BMW,3-serie,79000,2012,267740,Manuell,Diesel,Black,Bakhjulsdrift,136,1490kg,5,Stasjonsvogn,5,Personbil,14.09.2022,2l,,False
295559819,BMW,4-serie,258147,2015,167860,Automat,Diesel,Blå,Firehjulsdrift,184,1540kg,4,Coupe,2,Personbil,31.08.2024,2l,,False
296234138,BMW,3-serie,228900,2016,189000,Automat,Diesel,Grå,STOFF HEXAGON ALCANTARA,Firehjulsdrift,200,1605kg,5,Stasjonsvogn,5,Personbil,2l,,False
286876816,BMW,5-serie,99777,2009,227000,Automat,Diesel,Black,Firehjulsdrift,197,1780kg,5,Stasjonsvogn,5,2,Personbil,3l,,False
296920347,BMW,6-serie,454900,2015,98420,Automat,Diesel,Black,Brun,Firehjulsdrift,313,1870kg,5,Coupe,Personbil,3l,,,False
296724359,BMW,3-serie,98147,2012,135000,Manuell,Diesel,Black,Bakhjulsdrift,116,1550kg,5,Stasjonsvogn,4,6,Personbil,23.09.2024,2l,False
291570722,BMW,5-serie,159000,2011,163000,Automat,Diesel,Grå,163,1700kg,5,Personbil,2l,,,,,,False
